time,BTC,ETH,XEC,SHIB,DOGE,SOL,XRP,AXS,LUNA,OMG,BUSD,BNB,DOT,ADA,FIL,LTC,TRX,USDT,ATOM,XTZ,LINK,EOS,AVAX,ALGO,STPT,BCH,ICP,ETC,FTT,NFT,OKB,XLM,THETA,UNI,BTT,MATIC,JST,USDC,VET,DYDX,QTUM,ICX,HBAR,FTM,IOST,CRV,SRM,NEAR,XMR,COMP,SUSHI,SLP,FET,ONE,NEO,WIN,1INCH,GRT,COTI,CHZ,BSV,ZEC,RUNE,EGLD,CELO,ZIL,REN,DASH,AAVE,WAVES,FLOW,MANA,ONT,MIOTA,CELR,KSM,SNX,TT,DENT,CAKE,MINA,HT,ENJ,SXP,XEM,SC,YFI,WBTC,AMP,CVC,SAND,POLY,KLAY,AR,RSR,ANKR,HOT,ELF,RVN
1628208000,42852.18,2892.36,29.36,6.31e-06,0.2047,39.52,0.7473,42.65,14.52,4.729,0.9996,342.43,20.43,1.402,64.17,147.88,0.07183,1.0,13.59,3.36,23.89,4.317,14.77,0.8557,0.05571,557.11,48.31,53.05,41.26,2.48e-06,21.42,0.2852,6.89,26.18,0.003809,1.08,0.05843,1.0,0.0967,0.0,8.718,1.107,0.2181,0.281,0.02765,1.922,4.547,2.524,263.11,466.69,9.812,0.1802,0.4141,0.0809,44.48,0.0004285,2.511,0.7029,0.1676,0.2896,145.1,126.84,7.785,115.57,2.961,0.09091,0.4462,166.83,369.57,16.67,22.44,0.7505,0.8798,0.9072,0.03514,227.59,10.18,0.01071,0.002892,18.12,0.0,11.41,1.443,2.575,0.1725,0.01722,33218.82,42852.18,0.06207,0.296,0.6364,0.2769,1.19,12.66,0.03991,0.09678,0.007841,0.2744,0.09939
1628294400,44617.96,3162.43,29.36,7.8e-06,0.2618,39.48,0.817,41.35,14.59,5.07,1.0,356.51,20.98,1.475,69.33,156.08,0.07516,1.001,14.02,3.425,24.71,4.596,15.85,0.8775,0.05622,584.12,61.76,60.73,44.85,2.45e-06,24.99,0.3075,6.929,28.33,0.003928,1.169,0.06119,1.0,0.1039,0.0,10.87,1.127,0.2253,0.2853,0.02862,1.914,4.601,2.78,271.68,508.09,10.36,0.1775,0.4111,0.0841,46.94,0.0004462,2.707,0.7334,0.1695,0.2929,155.23,134.08,7.571,117.88,2.936,0.09305,0.4706,170.49,385.29,17.37,22.77,0.7718,0.9194,0.9257,0.03793,235.63,10.58,0.01115,0.002941,18.23,0.0,12.78,1.499,2.618,0.1857,0.01758,34657.52,44621.89,0.06221,0.3054,0.64,0.2909,1.252,13.85,0.03886,0.101,0.007772,0.2802,0.09759
1628380800,43827.75,3013.75,29.36,7.28e-06,0.2401,37.67,0.7795,42.22,13.39,4.77,0.9999,342.04,19.67,1.427,64.58,149.83,0.07187,1.001,13.14,3.181,23.05,4.296,14.83,0.8254,0.05478,556.17,57.51,55.4,43.54,2.44e-06,22.38,0.2876,6.41,26.72,0.003704,1.082,0.05934,0.9997,0.1014,0.0,10.23,1.057,0.2134,0.2678,0.02688,1.758,4.257,2.558,257.23,466.93,9.4,0.1868,0.3761,0.0813,45.1,0.0004383,2.495,0.6709,0.1648,0.2767,144.68,123.68,6.699,125.34,2.827,0.08699,0.4262,161.72,361.28,16.28,21.64,0.7201,0.8706,0.8693,0.03594,215.34,9.688,0.01052,0.003195,17.4,0.0,12.17,1.411,2.471,0.1758,0.01635,32776.13,43827.75,0.0601,0.2867,0.6147,0.2743,1.198,14.92,0.0365,0.09403,0.008335,0.2653,0.0912
1628467200,46292.61,3164.94,29.36,7.63e-06,0.2564,38.69,0.8178,43.55,13.95,4.98,1.001,354.68,20.58,1.476,67.71,166.51,0.07397,1.001,13.63,3.287,24.24,4.541,16.19,0.856,0.0574,592.09,64.4,59.09,48.78,2.47e-06,24.38,0.299,6.77,28.37,0.003829,1.127,0.06219,0.9996,0.105,0.0,10.77,1.116,0.2216,0.2796,0.02807,1.878,4.579,2.69,269.65,468.21,9.824,0.2066,0.3991,0.0935,46.52,0.0004629,2.762,0.7089,0.1778,0.31,153.09,130.82,6.871,134.39,3.226,0.09161,0.4499,179.15,374.59,17.28,22.17,0.7532,0.9158,0.9124,0.03798,222.0,10.16,0.01065,0.003355,18.32,0.0,12.72,1.534,2.976,0.1823,0.01703,33910.48,46303.07,0.06101,0.2961,0.6243,0.2831,1.236,15.05,0.03858,0.09606,0.008519,0.273,0.1139
1628553600,45601.03,3141.67,29.36,7.57e-06,0.2574,40.68,0.8517,64.12,16.72,5.122,0.9999,372.1,20.62,1.678,66.72,165.46,0.0745,1.0,14.1,3.266,24.56,4.598,16.44,0.8826,0.05928,592.65,71.62,58.84,48.89,2.44e-06,23.85,0.3101,6.937,28.77,0.003862,1.157,0.06202,1.0,0.1063,0.0,10.64,1.123,0.2249,0.2958,0.02931,2.069,4.647,2.859,266.22,472.56,10.36,0.2028,0.4838,0.0914,46.7,0.000456,2.793,0.7494,0.1906,0.3271,151.71,131.97,7.096,139.63,2.995,0.09748,0.4737,175.88,384.05,17.59,23.11,0.8282,0.933,0.9683,0.04172,241.0,10.27,0.01094,0.003299,18.86,0.0,13.17,1.624,3.054,0.1892,0.01719,34886.5,45585.63,0.06063,0.3123,0.679,0.3047,1.262,14.95,0.03931,0.09544,0.009772,0.2753,0.1363
1628640000,45556.69,3163.42,29.36,7.8e-06,0.2648,41.66,1.012,66.33,16.99,5.271,1.0,391.21,21.4,1.797,71.86,170.92,0.08337,1.0,14.58,3.45,25.92,4.758,16.71,0.9124,0.05922,620.94,67.2,60.83,50.52,2.62e-06,23.52,0.3376,7.159,29.02,0.004427,1.372,0.06634,0.9993,0.1114,0.0,10.81,1.181,0.2284,0.3208,0.03075,2.04,4.853,2.98,268.47,468.46,11.22,0.2024,0.484,0.0979,48.79,0.0009111,2.938,0.7916,0.1936,0.3285,158.49,137.44,7.018,135.26,2.988,0.1045,0.5018,181.68,403.38,18.62,23.79,0.8213,1.016,1.042,0.04381,269.41,10.67,0.01139,0.004334,19.68,0.0,13.82,1.622,3.248,0.1952,0.0183,38004.84,45616.52,0.06105,0.3269,0.6768,0.3069,1.443,14.94,0.03998,0.09645,0.01137,0.283,0.1546
1628726400,44425.52,3047.29,29.36,7.64e-06,0.2642,41.09,0.966,66.02,16.59,5.046,0.9999,385.91,20.76,1.831,68.42,165.31,0.08408,1.0,14.08,3.35,24.95,4.665,16.59,0.8824,0.06308,606.13,64.1,60.01,49.15,2.71e-06,22.9,0.3285,6.77,28.11,0.004535,1.323,0.06625,0.9999,0.107,0.0,10.32,1.125,0.2184,0.3075,0.03032,2.033,4.699,3.341,257.22,453.89,12.15,0.1902,0.5107,0.0927,48.6,0.0008885,2.811,0.8807,0.1893,0.37,153.89,133.45,6.789,134.17,3.07,0.09873,0.4762,179.43,392.66,19.8,22.55,0.8006,0.9694,1.038,0.04354,261.47,10.41,0.01111,0.004419,19.47,0.0,13.07,1.565,3.286,0.1879,0.01768,36990.85,44425.52,0.06023,0.3118,0.6344,0.2895,1.477,14.81,0.03844,0.09434,0.01094,0.2724,0.1506
1628812800,47832.93,3324.26,29.36,8.13e-06,0.2869,44.89,1.091,70.55,17.8,5.622,1.0,411.25,22.74,2.139,74.51,183.49,0.08932,1.001,15.22,3.592,27.76,5.161,18.05,0.9561,0.07127,654.85,68.21,64.31,50.72,2.54e-06,23.35,0.3601,7.16,30.51,0.004843,1.511,0.07081,1.0,0.12,0.0,13.99,1.228,0.2314,0.3454,0.03231,2.363,5.223,3.412,273.13,484.09,12.57,0.1912,0.514,0.0982,55.49,0.0009567,3.075,0.929,0.2277,0.3819,165.93,144.89,7.335,137.99,3.191,0.1059,0.521,203.77,427.74,20.7,23.66,0.844,1.065,1.103,0.04592,281.25,12.11,0.01196,0.00595,21.1,0.0,13.94,1.676,3.58,0.2032,0.01909,40216.77,47818.58,0.06255,0.3411,0.6622,0.3058,1.674,16.11,0.04247,0.1027,0.01217,0.2883,0.1553
1628899200,47102.03,3266.71,29.36,8.14e-06,0.2941,44.16,1.281,67.78,17.34,5.642,1.0,409.07,22.87,2.191,72.51,182.91,0.09263,1.001,15.56,3.699,27.17,5.49,18.04,0.9328,0.06877,692.25,64.21,67.25,50.26,2.45e-06,22.59,0.3951,7.226,30.14,0.004762,1.443,0.07219,1.0,0.1308,0.0,14.16,1.25,0.2631,0.3375,0.03277,2.262,5.233,3.25,271.4,477.65,12.22,0.1796,0.5014,0.098,55.86,0.000942,3.059,0.901,0.2204,0.3718,165.8,144.89,7.747,137.21,3.098,0.1116,0.5228,199.1,414.6,26.52,23.32,0.838,1.084,1.155,0.04933,273.06,13.02,0.01178,0.008134,20.7,0.0,13.39,1.684,3.474,0.2138,0.01942,39578.38,47073.29,0.06077,0.3375,0.6364,0.3103,1.791,15.65,0.04168,0.1033,0.01172,0.2844,0.1502
1628985600,47015.94,3311.12,29.36,8.57e-06,0.3403,53.53,1.285,67.99,19.28,5.694,1.0,414.39,23.17,2.169,73.13,184.83,0.09295,1.001,15.92,3.739,27.91,5.701,18.77,0.996,0.0677,703.74,63.45,75.05,51.48,2.46e-06,22.44,0.3913,7.473,30.27,0.004729,1.467,0.07241,0.9999,0.1326,0.0,13.79,1.261,0.2518,0.3473,0.03314,2.219,6.167,3.23,272.03,489.27,12.62,0.1763,0.4993,0.1083,58.96,0.0009403,3.044,0.8977,0.2238,0.3704,168.98,154.87,8.431,136.43,3.131,0.1119,0.5141,216.09,410.65,24.92,23.03,0.8696,1.132,1.171,0.0494,273.58,12.86,0.01128,0.007417,21.08,0.0,13.46,1.668,3.469,0.2165,0.01962,39874.57,47062.96,0.06026,0.3413,0.6443,0.3146,1.92,16.83,0.04204,0.109,0.01172,0.2899,0.1468
