time,BTC,ETH,XEC,SHIB,DOGE,SOL,XRP,AXS,LUNA,OMG,BUSD,BNB,DOT,ADA,FIL,LTC,TRX,USDT,ATOM,XTZ,LINK,EOS,AVAX,ALGO,STPT,BCH,ICP,ETC,FTT,NFT,OKB,XLM,THETA,UNI,BTT,MATIC,JST,USDC,VET,DYDX,QTUM,ICX,HBAR,FTM,IOST,CRV,SRM,NEAR,XMR,COMP,SUSHI,SLP,FET,ONE,NEO,WIN,1INCH,GRT,COTI,CHZ,BSV,ZEC,RUNE,EGLD,CELO,ZIL,REN,DASH,AAVE,WAVES,FLOW,MANA,ONT,MIOTA,CELR,KSM,SNX,TT,DENT,CAKE,MINA,HT,ENJ,SXP,XEM,SC,YFI,WBTC,AMP,CVC,SAND,POLY,KLAY,AR,RSR,ANKR,HOT,ELF,RVN
1632841200,41483.47,2846.45,29.36,6.92e-06,0.1979,130.54,0.9153,65.69,34.19,9.158,1.001,335.73,26.97,2.078,55.62,144.18,0.0847,1.001,35.11,5.852,22.68,3.755,63.93,1.612,0.04688,484.11,41.85,45.4,50.53,2.52e-06,15.85,0.26,4.787,23.89,0.003048,1.056,0.05935,1.001,0.08421,21.54,8.941,1.437,0.3089,1.211,0.05329,2.287,7.08,6.7,228.99,325.44,9.88,0.06348,0.7145,0.148,36.75,0.0003734,2.45,0.637,0.5745,0.2476,126.07,103.0,6.691,203.6,5.831,0.07686,0.9655,151.54,264.62,23.58,15.13,0.6345,0.7277,1.102,0.1547,326.08,9.454,0.008712,0.004355,18.34,0.0,7.654,1.23,2.019,0.1418,0.01374,28610.3,41472.78,0.04383,0.3992,0.6009,0.5237,1.06,38.63,0.02819,0.07467,0.007703,0.575,0.0926
1632844800,41275.35,2821.46,29.36,6.92e-06,0.1976,130.06,0.9109,64.98,34.07,9.001,1.0,333.46,26.63,2.054,55.44,143.58,0.08435,1.0,34.35,5.706,22.39,3.719,63.19,1.607,0.04582,481.08,41.31,45.16,50.29,2.45e-06,15.68,0.2594,4.765,23.85,0.003036,1.052,0.05908,1.001,0.08321,20.76,8.848,1.424,0.3074,1.197,0.05279,2.265,7.008,6.662,229.28,322.49,9.8,0.06362,0.7011,0.1465,36.34,0.0004128,2.417,0.6304,0.5667,0.2457,124.65,102.05,6.588,202.37,5.824,0.07604,0.9571,150.53,263.61,23.24,15.09,0.633,0.7174,1.094,0.1548,321.04,9.33,0.008668,0.00426,18.23,0.0,7.507,1.223,2.012,0.142,0.01358,28431.17,41275.35,0.04265,0.4032,0.5983,0.522,1.045,38.56,0.02753,0.07388,0.007678,0.5776,0.09251
1632848400,41423.1,2830.77,29.36,6.87e-06,0.1985,129.26,0.906,64.82,33.94,8.955,0.9999,331.84,26.7,2.045,55.6,143.28,0.08401,1.0,34.15,5.65,22.39,3.724,62.42,1.612,0.04598,480.09,41.4,45.2,49.58,2.45e-06,15.53,0.2589,4.753,23.89,0.003018,1.057,0.05916,0.9995,0.0828,21.31,8.889,1.423,0.3064,1.193,0.05291,2.259,6.976,6.595,232.05,321.95,9.775,0.0642,0.6968,0.1464,36.38,0.0003728,2.425,0.6312,0.5547,0.2451,124.64,102.08,6.58,201.73,5.866,0.07621,0.9549,147.88,264.29,23.05,15.03,0.6348,0.7197,1.078,0.1541,317.14,9.364,0.008699,0.004303,18.06,0.0,7.486,1.22,2.012,0.1413,0.01342,28464.39,41423.1,0.04289,0.4014,0.5981,0.5237,1.042,38.52,0.02747,0.07415,0.007596,0.5724,0.09231
1632852000,41595.06,2838.55,29.36,6.99e-06,0.1991,131.08,0.9103,65.52,34.14,8.891,1.0,333.8,26.77,2.076,56.0,144.06,0.08441,1.001,34.25,5.707,22.45,3.742,62.93,1.633,0.04575,484.43,41.37,45.5,49.42,2.48e-06,15.86,0.2602,4.767,24.18,0.00303,1.061,0.05941,1.0,0.08341,21.05,8.885,1.435,0.3086,1.206,0.05334,2.251,7.042,6.564,231.68,324.37,9.823,0.06441,0.7026,0.148,36.73,0.0003744,2.445,0.6323,0.5773,0.2471,124.83,102.24,6.592,203.9,5.824,0.07702,0.9599,149.66,265.44,23.4,15.11,0.6355,0.7257,1.086,0.1549,317.69,9.431,0.008735,0.0044,18.23,0.0,7.597,1.222,2.026,0.1426,0.01352,28652.81,41595.06,0.04258,0.403,0.6036,0.5251,1.046,38.55,0.02761,0.07428,0.007598,0.5714,0.09321
1632855600,41595.96,2838.78,29.36,6.94e-06,0.1986,130.98,0.9084,68.09,34.08,8.861,0.9997,335.95,26.65,2.065,55.76,143.2,0.08422,1.0,34.12,5.695,22.4,3.732,63.14,1.622,0.04617,482.59,41.37,45.5,49.36,2.48e-06,16.09,0.2605,4.775,24.12,0.003029,1.059,0.0591,1.0,0.0832,20.88,8.854,1.437,0.3078,1.205,0.05337,2.263,7.013,6.501,233.02,323.59,9.801,0.06424,0.7096,0.1477,36.4,0.0003744,2.443,0.6323,0.5724,0.2461,125.29,101.87,6.614,203.29,5.845,0.07667,0.9529,148.91,266.22,23.46,15.61,0.6288,0.7227,1.075,0.1581,317.76,9.436,0.008735,0.004343,18.25,0.0,7.575,1.22,2.034,0.1421,0.01355,28515.31,41616.51,0.04302,0.4021,0.6022,0.5337,1.046,39.12,0.02769,0.0752,0.007596,0.5703,0.093
1632859200,41789.26,2863.59,29.36,7.08e-06,0.1998,131.92,0.9131,69.56,34.26,8.987,1.0,336.99,26.81,2.074,56.08,144.15,0.08475,1.0,34.86,5.759,22.52,3.757,63.6,1.625,0.04597,484.58,41.73,45.89,49.4,2.49e-06,15.81,0.2619,4.797,24.01,0.00304,1.065,0.05945,1.0,0.08351,21.81,8.929,1.451,0.3099,1.207,0.05378,2.288,7.066,6.494,233.06,326.43,9.884,0.06497,0.717,0.1494,36.62,0.0003761,2.462,0.6401,0.5972,0.248,125.74,102.93,6.704,205.14,5.89,0.07713,0.9609,150.33,268.8,23.52,15.54,0.6311,0.7267,1.08,0.1663,321.26,9.526,0.008776,0.004439,18.32,0.0,7.597,1.228,2.045,0.1431,0.01366,28819.53,41789.26,0.04335,0.4032,0.6076,0.5326,1.053,39.78,0.02809,0.07522,0.007598,0.5767,0.0938
1632862800,41868.65,2883.18,29.36,7.07e-06,0.1999,134.0,0.9183,71.24,34.31,9.147,1.0,338.97,27.02,2.085,56.41,144.37,0.08506,1.0,34.86,5.741,22.63,3.772,64.23,1.621,0.04647,485.86,42.18,46.24,49.62,2.49e-06,15.99,0.2638,4.824,24.2,0.003044,1.072,0.05957,1.001,0.08449,23.06,8.964,1.459,0.3119,1.218,0.05392,2.325,7.116,6.586,234.26,327.74,9.955,0.06617,0.7101,0.1515,36.79,0.0003768,2.47,0.6453,0.5908,0.2488,126.61,103.42,6.814,205.62,5.904,0.07723,0.9644,150.77,270.68,23.7,15.53,0.6358,0.7292,1.087,0.1625,323.23,9.571,0.008792,0.004411,18.42,0.0,7.682,1.237,2.052,0.144,0.01368,28914.42,41868.65,0.04378,0.4038,0.6167,0.5334,1.054,40.02,0.02819,0.07623,0.007627,0.5801,0.09411
1632866400,41592.43,2835.11,29.36,7.01e-06,0.198,132.4,0.9082,69.84,33.71,8.995,0.9999,335.22,26.56,2.053,56.42,141.92,0.08438,0.9999,34.19,5.623,22.27,3.732,62.76,1.589,0.04534,479.14,41.5,45.45,48.52,2.46e-06,15.8,0.2596,4.754,23.35,0.003031,1.058,0.05891,1.0,0.08301,23.39,8.812,1.43,0.3085,1.188,0.05304,2.284,7.002,6.455,232.96,323.35,9.835,0.06436,0.6977,0.1475,36.29,0.0003743,2.41,0.6339,0.5698,0.2463,125.23,101.65,6.658,201.64,5.84,0.07637,0.9455,148.86,263.62,23.3,15.34,0.6271,0.7217,1.07,0.1585,322.47,9.411,0.008734,0.004366,18.24,0.0,7.507,1.214,2.027,0.1414,0.01353,28584.98,41591.06,0.0436,0.4038,0.6032,0.5245,1.041,39.5,0.02772,0.07528,0.007606,0.5699,0.09319
1632870000,41056.79,2807.44,29.36,6.97e-06,0.1967,132.21,0.8939,69.09,33.17,8.93,1.001,333.28,26.33,2.039,55.3,140.57,0.08322,1.001,33.69,5.469,22.09,3.685,61.54,1.565,0.04557,474.59,40.89,45.08,48.15,2.41e-06,15.66,0.2566,4.697,23.09,0.002984,1.05,0.05814,1.001,0.0818,22.51,8.667,1.407,0.3034,1.173,0.0525,2.228,6.947,6.417,230.04,319.63,9.677,0.06339,0.6841,0.1461,35.84,0.0003695,2.374,0.6284,0.5608,0.2443,124.44,100.75,6.618,200.21,5.819,0.07514,0.9266,147.31,260.98,22.95,15.22,0.6203,0.7124,1.047,0.1552,318.23,9.309,0.008622,0.004352,18.12,0.0,7.47,1.203,1.996,0.1414,0.01332,28211.06,41056.79,0.0429,0.3987,0.5919,0.5157,1.029,38.38,0.02732,0.0739,0.007565,0.5657,0.09099
1632873600,41600.26,2845.08,29.36,7.06e-06,0.1973,136.33,0.9027,69.34,34.23,8.926,0.9998,336.39,26.85,2.053,56.59,142.35,0.08409,1.0,34.25,5.573,22.45,3.716,62.94,1.586,0.04493,478.88,41.52,45.47,48.94,2.47e-06,15.95,0.2597,4.751,23.5,0.002997,1.065,0.05867,1.0,0.0831,23.22,8.777,1.417,0.3065,1.2,0.05252,2.288,7.05,6.565,233.54,324.8,9.659,0.06495,0.6938,0.1495,36.26,0.000416,2.42,0.6376,0.5874,0.2472,125.8,102.84,6.73,205.55,5.822,0.07651,0.943,150.14,264.93,22.98,15.11,0.6333,0.7212,1.059,0.1543,325.94,9.524,0.00832,0.004609,18.33,0.0,7.554,1.218,2.055,0.1417,0.01365,28540.19,41600.26,0.04298,0.3977,0.6027,0.5121,1.044,39.1,0.02784,0.07537,0.007589,0.5579,0.093
