time,BTC,ETH,XEC,SHIB,DOGE,SOL,XRP,AXS,LUNA,OMG,BUSD,BNB,DOT,ADA,FIL,LTC,TRX,USDT,ATOM,XTZ,LINK,EOS,AVAX,ALGO,STPT,BCH,ICP,ETC,FTT,NFT,OKB,XLM,THETA,UNI,BTT,MATIC,JST,USDC,VET,DYDX,QTUM,ICX,HBAR,FTM,IOST,CRV,SRM,NEAR,XMR,COMP,SUSHI,SLP,FET,ONE,NEO,WIN,1INCH,GRT,COTI,CHZ,BSV,ZEC,RUNE,EGLD,CELO,ZIL,REN,DASH,AAVE,WAVES,FLOW,MANA,ONT,MIOTA,CELR,KSM,SNX,TT,DENT,CAKE,MINA,HT,ENJ,SXP,XEM,SC,YFI,WBTC,AMP,CVC,SAND,POLY,KLAY,AR,RSR,ANKR,HOT,ELF,RVN
1633362660,47661.27,3322.25,0.0002278,1.029e-05,0.2214,166.34,1.028,143.45,46.68,17.01,1.001,419.73,30.8,2.186,68.36,162.99,0.09174,1.001,37.15,8.558,26.13,4.461,65.82,1.951,0.05529,541.11,48.2,51.38,54.49,3.01e-06,17.24,0.3003,5.872,24.89,0.003389,1.262,0.06784,1.0,0.1078,24.07,13.41,2.114,0.3902,1.4,0.05299,2.729,8.463,7.65,256.85,315.96,10.31,0.0901,0.7475,0.1816,42.41,0.0004542,3.001,0.7098,0.5327,0.2795,142.08,114.2,8.443,242.58,6.05,0.09721,1.133,171.39,300.76,26.34,20.08,0.7793,0.8505,1.19,0.1454,333.3,10.33,0.01049,0.0001997,19.26,4.31,8.033,1.586,2.317,0.1607,0.01579,30251.24,47607.84,0.05012,0.4996,0.8164,0.9203,1.233,54.48,0.03432,0.08242,0.008909,0.6649,0.1076
1633362720,47643.53,3324.96,0.0002278,1.019e-05,0.2217,166.48,1.028,143.45,46.68,17.0,1.0,420.37,30.83,2.185,68.29,163.05,0.09172,1.001,37.11,8.547,26.15,4.459,65.89,1.951,0.05527,541.23,48.14,51.41,54.55,3e-06,17.28,0.3002,5.87,24.9,0.003391,1.262,0.06783,0.9998,0.1078,24.15,13.42,2.102,0.389,1.403,0.05307,2.73,8.463,7.656,256.46,315.97,10.33,0.09051,0.7458,0.1815,42.39,0.0004533,3.001,0.7117,0.5335,0.2795,142.07,114.15,8.45,242.6,6.056,0.09693,1.135,171.33,300.78,26.21,20.05,0.7786,0.8515,1.185,0.1453,333.16,10.33,0.01048,0.0001997,19.25,4.31,8.038,1.585,2.319,0.1605,0.01579,30261.25,47646.68,0.05013,0.5005,0.8152,0.9177,1.233,54.46,0.03461,0.08242,0.008909,0.6661,0.1077
1633362780,47655.26,3325.77,0.0002278,1.02e-05,0.2218,166.64,1.029,143.47,46.66,17.0,0.9999,420.65,30.83,2.186,68.45,163.18,0.0917,1.0,37.13,8.536,26.16,4.466,65.86,1.95,0.05528,541.02,48.15,51.4,54.58,3.01e-06,17.17,0.3006,5.881,24.91,0.003387,1.262,0.06778,1.0,0.1078,24.08,13.4,2.106,0.3889,1.407,0.0529,2.735,8.471,7.658,256.81,315.73,10.33,0.09049,0.7462,0.1815,42.4,0.0004538,3.002,0.7118,0.5334,0.2797,142.11,114.18,8.441,242.71,6.041,0.09712,1.134,171.58,301.11,26.35,20.08,0.7808,0.8514,1.191,0.1453,333.57,10.34,0.01048,0.0001997,19.24,4.31,8.054,1.583,2.32,0.1616,0.01579,30268.27,47665.73,0.05014,0.5007,0.8149,0.9231,1.231,54.52,0.03459,0.08257,0.008876,0.6695,0.1072
1633362840,47646.86,3324.81,0.0002278,1.023e-05,0.222,166.7,1.029,143.46,46.66,17.0,1.0,420.26,30.83,2.185,68.47,163.15,0.09172,1.001,37.13,8.543,26.13,4.465,65.85,1.95,0.05527,540.79,48.14,51.42,54.55,3.01e-06,17.3,0.3006,5.88,24.91,0.003387,1.262,0.06773,1.0,0.1078,24.04,13.41,2.103,0.3885,1.406,0.05336,2.733,8.465,7.667,256.72,315.8,10.33,0.09027,0.7468,0.1811,42.4,0.0004538,3.004,0.7116,0.5329,0.2799,142.23,114.16,8.44,242.81,6.043,0.09721,1.133,171.54,301.12,26.21,20.2,0.7824,0.8523,1.198,0.1458,333.61,10.35,0.01048,0.0001997,19.25,4.311,8.046,1.58,2.32,0.1617,0.01581,30275.72,47644.53,0.05015,0.5004,0.8148,0.9229,1.227,54.49,0.03458,0.08259,0.008876,0.6706,0.1077
1633362900,47599.65,3317.89,0.0002295,1.015e-05,0.2211,166.1,1.027,143.04,46.57,16.98,0.9994,419.6,30.76,2.183,68.17,162.79,0.09164,1.0,37.01,8.499,26.1,4.457,65.69,1.94,0.05522,540.26,48.1,51.29,54.36,3.01e-06,17.27,0.3002,5.869,24.83,0.003384,1.26,0.06762,1.0,0.1075,24.02,13.36,2.098,0.3873,1.4,0.05331,2.726,8.448,7.625,256.47,315.15,10.29,0.08985,0.7454,0.1808,42.35,0.0004519,2.989,0.7115,0.5323,0.2791,142.13,114.0,8.415,241.57,6.032,0.0968,1.129,171.07,300.47,26.33,20.01,0.7813,0.8494,1.192,0.1452,332.45,10.32,0.01047,0.005806,19.23,4.291,8.045,1.574,2.313,0.1606,0.01577,30185.06,47545.36,0.05013,0.4994,0.813,0.9196,1.229,54.41,0.03451,0.08221,0.008958,0.6705,0.1075
1633362960,47595.79,3318.32,0.0002295,1.009e-05,0.2213,166.04,1.028,143.26,46.57,16.94,1.0,419.59,30.77,2.182,68.28,162.92,0.09164,1.0,36.99,8.514,26.08,4.458,65.68,1.941,0.05521,540.21,48.07,51.31,54.46,3e-06,17.12,0.3001,5.864,24.87,0.003385,1.261,0.06766,0.9999,0.1076,24.02,13.4,2.099,0.3876,1.4,0.05331,2.724,8.441,7.645,256.4,314.85,10.3,0.09029,0.7454,0.1809,42.34,0.0004518,2.995,0.711,0.5323,0.2792,142.12,114.04,8.419,242.02,6.001,0.097,1.131,171.06,300.88,26.29,20.13,0.78,0.8495,1.192,0.1452,332.74,10.32,0.01047,0.0001997,19.2,4.286,8.048,1.575,2.315,0.1617,0.01578,30195.41,47551.53,0.05014,0.4993,0.8129,0.9191,1.228,54.5,0.03456,0.08236,0.008876,0.671,0.1076
1633363020,47587.3,3314.78,0.0002295,1.016e-05,0.2211,165.65,1.027,143.18,46.52,16.95,1.0,419.15,30.74,2.182,68.21,162.49,0.09164,1.0,36.94,8.51,26.07,4.458,65.58,1.939,0.0552,539.64,48.06,51.29,54.43,2.99e-06,17.12,0.2999,5.858,24.84,0.003381,1.261,0.06765,0.9996,0.1075,23.9,13.35,2.097,0.3867,1.398,0.0533,2.723,8.434,7.658,256.35,314.48,10.29,0.09016,0.7453,0.1799,42.32,0.0004516,2.992,0.7103,0.5328,0.279,142.05,113.97,8.413,241.58,6.009,0.09686,1.128,171.02,300.51,26.12,19.97,0.7792,0.8486,1.192,0.1451,331.92,10.33,0.01047,0.005768,19.2,4.27,8.022,1.577,2.313,0.1613,0.0157,30178.44,47533.95,0.05028,0.4988,0.8125,0.9184,1.229,54.25,0.03426,0.08227,0.009042,0.6696,0.1072
1633363080,47616.57,3314.52,0.0002286,1.024e-05,0.2213,165.85,1.028,143.05,46.65,16.99,0.9988,419.57,30.75,2.18,68.2,162.56,0.09156,1.0,36.91,8.513,26.05,4.458,65.62,1.939,0.05524,539.97,48.14,51.31,54.5,3e-06,17.12,0.3003,5.862,24.85,0.003381,1.26,0.06778,0.9997,0.1074,24.04,13.37,2.099,0.3881,1.403,0.05293,2.721,8.451,7.637,256.56,313.7,10.29,0.09006,0.7461,0.1806,42.32,0.0004523,3.001,0.711,0.5315,0.2785,142.04,114.04,8.422,241.8,6.018,0.09693,1.129,171.04,299.78,26.27,19.93,0.7788,0.849,1.188,0.1452,332.36,10.33,0.01048,0.0001997,19.2,4.27,8.011,1.577,2.314,0.1544,0.01574,30183.48,47629.65,0.05018,0.4995,0.8133,0.919,1.229,54.28,0.03447,0.08232,0.008982,0.6681,0.1076
1633363140,47727.87,3324.91,0.0002286,1.029e-05,0.2225,166.53,1.033,143.37,46.7,17.08,0.9983,421.02,30.92,2.187,68.64,162.95,0.09171,0.9991,37.08,8.557,26.21,4.478,65.82,1.958,0.05536,541.47,48.29,51.53,54.76,3e-06,17.22,0.3014,5.892,24.95,0.00339,1.268,0.06793,0.9992,0.1079,24.11,13.42,2.117,0.3901,1.409,0.05313,2.74,8.495,7.656,257.95,314.04,10.34,0.0906,0.7476,0.1816,42.39,0.0004544,3.01,0.7157,0.5348,0.2802,142.18,114.45,8.466,242.55,6.033,0.097,1.135,171.89,301.76,26.33,20.2,0.7805,0.8491,1.196,0.1451,333.11,10.39,0.0105,0.0001997,19.25,4.294,8.032,1.589,2.323,0.1616,0.01575,30325.39,47704.74,0.0503,0.501,0.8166,0.9226,1.232,54.36,0.03469,0.08284,0.009077,0.6696,0.1073
1633363200,47779.2,3320.74,0.0002286,1.031e-05,0.2225,166.4,1.032,142.88,46.8,17.04,0.9999,420.33,30.84,2.187,68.63,162.72,0.09176,1.001,37.05,8.563,26.18,4.47,65.89,1.96,0.05542,540.15,48.21,51.46,54.63,2.99e-06,17.19,0.3014,5.891,24.9,0.003387,1.267,0.06768,1.001,0.1078,24.0,13.43,2.113,0.3884,1.407,0.05313,2.735,8.493,7.649,257.72,315.45,10.33,0.08996,0.7476,0.1815,42.53,0.0004544,3.008,0.7146,0.5354,0.2796,142.62,114.55,8.463,242.87,6.026,0.09716,1.134,171.72,301.56,26.35,20.03,0.7853,0.8501,1.196,0.1457,334.03,10.38,0.01051,0.005845,19.25,4.308,8.063,1.587,2.322,0.161,0.0158,30311.08,47785.45,0.05017,0.5007,0.8165,0.9226,1.234,54.52,0.03454,0.08287,0.008877,0.6703,0.1081
