time,BTC,ETH,SOL,XRP,OMG,BNB,ADA,DOT,ATOM,LUNA,LTC,LINK,FIL,AXS,DYDX,UNI,XTZ,BCH,OKB,FTT,ALGO,TRX,EOS,DOGE,ETC,COMP,IOST,FTM,MATIC,XLM,QTUM,ICP,THETA,SRM,VET,XMR,SUSHI,ZIL,HBAR,BTT,NEO,CELR,KSM,CELO,ZEC,MIOTA,CRV,HT,EGLD,CAKE,ONE,KAVA,DASH,CHZ,BSV,ELF,1INCH,AAVE,CVC,ONT,ICX,WBTC,WAVES,WAXP,PERP,GRT,SAND,AR,NFT,RUNE,MANA,SNX,FET,BAT,SXP,LSK,HIVE,SHIB,VIDT,REN,JST,YFI,TFUEL,CHR,ZRX,SC
1632929760,41937.41,2900.04,136.33,0.943,10.34,371.19,2.073,27.89,34.69,35.49,148.28,23.37,57.08,73.22,24.19,23.41,5.87,489.52,16.07,50.66,1.641,0.08678,3.809,0.2007,46.05,328.66,0.05417,1.22,1.092,0.2733,9.141,44.78,4.863,7.166,0.086,236.65,9.685,0.08208,0.315,0.003089,38.28,0.1535,330.84,5.778,105.01,1.07,2.299,7.796,206.79,18.93,0.1509,5.305,155.85,0.254,127.87,0.5787,2.511,270.51,0.4083,0.7448,1.481,41934.58,23.43,0.2034,14.77,0.6461,0.6186,43.49,2.6e-06,6.84,0.6479,9.629,0.7167,0.5994,2.093,2.722,0.5301,7.08e-06,0.827,0.9778,0.06026,28959.37,0.2583,0.2734,0.858,0.01399
1632929820,41873.49,2896.89,136.07,0.9422,10.31,370.96,2.07,27.86,34.63,35.28,148.07,23.33,57.02,72.94,24.14,23.38,5.849,489.26,16.02,50.37,1.637,0.0867,3.807,0.2004,46.06,327.83,0.05402,1.215,1.09,0.2731,9.128,44.75,4.849,7.156,0.08571,236.54,9.656,0.08174,0.314,0.003089,38.18,0.1528,329.93,5.766,105.03,1.068,2.294,7.788,206.23,18.87,0.1506,5.301,155.58,0.2532,127.67,0.5794,2.503,269.74,0.407,0.7439,1.473,41862.35,23.32,0.2041,14.73,0.6449,0.6169,43.26,2.6e-06,6.807,0.6453,9.618,0.7148,0.5997,2.091,2.741,0.5351,7.07e-06,0.8257,0.9748,0.0602,28914.44,0.2579,0.2726,0.8554,0.01398
1632929880,41808.69,2887.89,135.83,0.9393,10.3,370.22,2.069,27.77,34.47,35.34,147.75,23.28,56.96,72.76,23.95,23.28,5.82,488.19,16.01,50.25,1.631,0.08662,3.793,0.2002,45.96,326.8,0.05393,1.21,1.088,0.2727,9.106,44.55,4.837,7.144,0.08571,236.3,9.637,0.08149,0.3135,0.003087,38.1,0.1493,329.91,5.751,104.65,1.066,2.286,7.773,205.87,18.88,0.1501,5.289,155.25,0.2525,127.47,0.5776,2.494,269.05,0.4075,0.7443,1.474,41787.77,23.25,0.2029,14.61,0.6435,0.6154,43.23,2.59e-06,6.787,0.6451,9.562,0.712,0.5977,2.088,2.716,0.531,7.06e-06,0.8245,0.969,0.06004,28886.75,0.2575,0.2722,0.852,0.01391
1632929940,41776.35,2879.17,135.68,0.9379,10.28,369.38,2.066,27.7,34.31,35.32,147.64,23.25,56.97,72.71,23.9,23.28,5.795,487.84,16.0,50.15,1.629,0.08661,3.789,0.1998,45.87,327.08,0.05387,1.209,1.087,0.2723,9.103,44.49,4.828,7.122,0.08561,235.87,9.625,0.0813,0.3132,0.003085,37.98,0.15,329.66,5.757,104.63,1.066,2.285,7.762,205.51,18.86,0.1497,5.285,154.86,0.2526,127.38,0.577,2.485,268.36,0.4066,0.7428,1.468,41690.38,23.38,0.2022,14.6,0.6426,0.6151,43.07,2.59e-06,6.782,0.6435,9.547,0.7114,0.5977,2.084,2.734,0.5335,7.07e-06,0.8234,0.9692,0.05997,28805.85,0.2573,0.272,0.8515,0.01389
1632930000,41719.81,2862.91,135.53,0.9356,10.22,368.4,2.058,27.58,34.25,35.33,147.05,23.14,56.97,72.65,23.82,23.19,5.76,485.4,15.97,49.96,1.623,0.08628,3.769,0.1992,45.69,324.74,0.05357,1.205,1.085,0.2706,9.072,44.29,4.821,7.093,0.08512,235.34,9.573,0.08106,0.3109,0.003081,37.92,0.1498,327.54,5.69,104.1,1.059,2.269,7.739,204.7,18.77,0.1487,5.273,154.28,0.2512,127.04,0.5754,2.471,267.07,0.4054,0.7397,1.458,41655.34,23.28,0.2024,14.46,0.6399,0.6126,42.68,2.58e-06,6.749,0.6396,9.494,0.7068,0.5951,2.079,2.72,0.5332,7.05e-06,0.8261,0.9603,0.05966,28745.03,0.2562,0.2712,0.8477,0.01387
1632930060,41793.59,2867.44,135.97,0.9371,10.27,369.17,2.063,27.69,34.31,35.51,147.26,23.21,56.99,72.8,23.9,23.25,5.788,486.19,15.94,50.13,1.631,0.08627,3.775,0.1996,45.76,326.04,0.05376,1.216,1.086,0.2713,9.072,44.5,4.827,7.116,0.08541,235.59,9.612,0.08137,0.312,0.003081,37.98,0.15,327.63,5.692,104.23,1.061,2.277,7.75,205.37,18.79,0.1495,5.279,154.56,0.2517,127.18,0.5749,2.486,267.77,0.4051,0.7389,1.462,41793.59,23.22,0.2023,14.52,0.6415,0.6152,42.92,2.58e-06,6.78,0.6424,9.519,0.7092,0.597,2.085,2.73,0.5308,7.06e-06,0.8208,0.9627,0.05987,28773.04,0.257,0.2721,0.8498,0.01386
1632930120,41821.31,2872.99,135.96,0.9389,10.31,369.66,2.063,27.77,34.33,35.64,147.23,23.24,57.08,72.82,24.01,23.29,5.783,486.38,15.94,50.17,1.633,0.08631,3.778,0.1998,45.77,326.15,0.05384,1.213,1.086,0.2715,9.073,44.58,4.832,7.121,0.08551,235.7,9.623,0.08121,0.3124,0.003071,37.96,0.1506,328.06,5.698,104.18,1.063,2.284,7.78,206.36,18.82,0.1493,5.286,154.8,0.2515,127.22,0.575,2.491,268.15,0.4048,0.7388,1.462,41821.31,23.28,0.2024,14.55,0.6425,0.6126,42.78,2.58e-06,6.796,0.6418,9.523,0.711,0.5963,2.085,2.728,0.528,7.08e-06,0.8184,0.9642,0.05993,28767.11,0.2576,0.2723,0.8527,0.01387
1632930180,41782.92,2872.36,135.72,0.939,10.28,368.94,2.063,27.75,34.32,35.64,147.2,23.21,57.06,72.82,23.95,23.26,5.782,485.94,15.96,50.17,1.63,0.08631,3.78,0.1997,45.7,325.66,0.0538,1.209,1.087,0.2712,9.088,44.55,4.823,7.116,0.08512,235.45,9.612,0.08137,0.312,0.003081,37.92,0.1504,328.25,5.702,104.08,1.063,2.282,7.752,205.61,18.8,0.1494,5.286,154.82,0.2514,126.98,0.5759,2.491,268.34,0.404,0.7384,1.464,41792.84,23.32,0.2022,14.54,0.6411,0.6126,42.79,2.59e-06,6.784,0.6423,9.516,0.7089,0.597,2.083,2.704,0.527,7.05e-06,0.8189,0.9637,0.05989,28771.08,0.257,0.272,0.8517,0.01387
1632930240,41831.71,2875.98,135.9,0.9398,10.32,369.21,2.063,27.76,34.36,35.55,147.44,23.24,57.09,72.91,23.98,23.29,5.788,486.38,15.96,50.2,1.631,0.08632,3.784,0.1998,45.76,326.0,0.05381,1.215,1.087,0.2714,9.093,44.63,4.832,7.123,0.0852,235.76,9.623,0.0816,0.3124,0.003077,37.97,0.1506,327.6,5.713,104.28,1.061,2.282,7.758,206.15,18.81,0.1495,5.283,154.81,0.2517,127.13,0.5764,2.486,268.14,0.4052,0.7379,1.463,41845.51,23.23,0.202,14.53,0.6419,0.6158,42.92,2.58e-06,6.787,0.6424,9.517,0.7105,0.597,2.085,2.704,0.5304,7.07e-06,0.8199,0.9629,0.05994,28788.17,0.2573,0.2732,0.8527,0.01422
1632930300,41819.33,2872.19,135.5,0.9387,10.3,369.18,2.063,27.74,34.31,35.54,147.33,23.21,57.06,72.89,23.95,23.26,5.779,486.36,15.94,50.17,1.628,0.08634,3.78,0.1996,45.72,325.56,0.05374,1.21,1.087,0.2713,9.079,44.54,4.825,7.118,0.0853,235.65,9.596,0.08144,0.3125,0.003081,37.95,0.1505,328.11,5.696,104.13,1.056,2.28,7.761,205.67,18.8,0.1486,5.282,154.69,0.2517,127.09,0.575,2.484,267.64,0.4047,0.7376,1.465,41790.36,23.3,0.202,14.54,0.6414,0.6139,42.94,2.59e-06,6.769,0.643,9.499,0.7099,0.597,2.083,2.699,0.527,7.07e-06,0.8197,0.9623,0.05989,28749.69,0.2568,0.2727,0.8523,0.01386
1632930360,41766.92,2869.03,135.63,0.9367,10.3,368.33,2.059,27.67,34.2,35.43,147.0,23.15,57.06,72.78,23.97,23.19,5.756,485.75,15.87,50.1,1.626,0.08626,3.774,0.1994,45.68,324.93,0.05362,1.206,1.086,0.2708,9.068,44.49,4.817,7.107,0.08501,235.14,9.587,0.08087,0.3114,0.003081,37.89,0.1499,326.84,5.69,103.92,1.061,2.273,7.761,205.16,18.78,0.1485,5.267,154.36,0.2512,126.89,0.5744,2.48,267.19,0.4036,0.7359,1.46,41766.92,23.27,0.2021,14.46,0.6393,0.6114,42.89,2.59e-06,6.752,0.6417,9.466,0.7072,0.5962,2.079,2.948,0.5288,7.05e-06,0.8186,0.9573,0.05979,28666.9,0.256,0.2723,0.8507,0.01385
1632930420,41815.45,2871.91,135.85,0.9376,10.36,368.81,2.062,27.72,34.26,35.48,147.32,23.21,57.18,72.97,24.02,23.23,5.773,486.24,15.96,50.17,1.623,0.08615,3.778,0.1996,45.71,325.57,0.05368,1.21,1.086,0.2713,9.069,44.66,4.826,7.121,0.0852,235.43,9.611,0.08094,0.3122,0.003069,37.93,0.1505,327.4,5.693,104.04,1.057,2.278,7.779,205.16,18.8,0.1489,5.277,154.59,0.2518,127.04,0.575,2.481,267.44,0.4042,0.7372,1.46,41757.57,23.21,0.2019,14.47,0.6395,0.6114,42.74,2.59e-06,6.755,0.642,9.487,0.7102,0.5962,2.083,2.7,0.5285,7.06e-06,0.8196,0.9581,0.05985,28709.18,0.2559,0.2726,0.8509,0.01422
1632930480,41794.75,2866.16,135.72,0.9381,10.35,368.42,2.062,27.69,34.21,35.47,147.23,23.19,57.07,73.03,24.05,23.2,5.767,485.65,15.94,50.1,1.624,0.08611,3.78,0.1995,45.69,325.27,0.05357,1.207,1.086,0.2712,9.048,44.73,4.818,7.111,0.0852,235.6,9.59,0.08102,0.3113,0.003081,37.89,0.1505,327.17,5.697,104.1,1.06,2.282,7.77,205.16,18.8,0.1488,5.274,154.35,0.2514,127.01,0.5747,2.481,267.26,0.4033,0.7367,1.454,41794.75,23.29,0.2023,14.47,0.6394,0.6119,42.71,2.59e-06,6.752,0.6413,9.476,0.7092,0.5962,2.076,2.694,0.5274,7.06e-06,0.8192,0.9581,0.05979,28728.8,0.2558,0.2725,0.8506,0.01383
1632930540,41804.74,2864.93,135.68,0.9385,10.36,368.77,2.061,27.68,34.22,35.44,147.23,23.19,57.13,73.1,24.11,23.21,5.764,485.77,16.04,50.15,1.624,0.08617,3.78,0.1995,45.69,325.22,0.05357,1.208,1.086,0.2712,9.045,44.65,4.816,7.116,0.0852,235.45,9.602,0.0809,0.3119,0.003067,37.85,0.1505,326.54,5.699,104.01,1.058,2.285,7.776,205.76,18.8,0.1491,5.276,154.58,0.2516,127.04,0.5753,2.48,267.36,0.4041,0.7367,1.453,41804.74,23.29,0.2023,14.48,0.6405,0.6114,42.72,2.59e-06,6.755,0.642,9.479,0.7096,0.5961,2.082,2.698,0.5292,7.05e-06,0.8252,0.9585,0.05976,28741.76,0.2563,0.2726,0.8511,0.01385
1632930600,41828.13,2869.29,135.77,0.9393,10.35,369.01,2.063,27.71,34.26,35.5,147.37,23.24,57.18,73.09,24.2,23.24,5.772,485.82,16.02,50.21,1.626,0.08622,3.784,0.1997,45.73,325.55,0.05368,1.209,1.087,0.2717,9.06,44.79,4.823,7.123,0.0852,235.53,9.614,0.08113,0.312,0.003066,37.85,0.151,327.1,5.718,104.2,1.06,2.286,7.772,205.76,18.82,0.1492,5.283,154.65,0.2515,127.12,0.5767,2.48,267.76,0.4036,0.7371,1.461,41805.56,23.19,0.2016,14.47,0.6404,0.6114,42.96,2.59e-06,6.772,0.6413,9.483,0.7101,0.5967,2.081,2.699,0.527,7.07e-06,0.8257,0.9608,0.05985,28734.78,0.2564,0.2723,0.8511,0.0138
